Order ID,Order Date,Customer ID,Customer Name,Product Name,Product Category,Sub Category,Region,State,City,Sales,Profit,Quantity,Discount,Shipping Cost,Payment Mode,Segment,Year,YearMonth,Latitude,Longitude
ORD-103609,2022-01-13,CUS-00113,Emily Williams,USB-C Hub 7-in-1,Technology,Accessories,East,New Jersey,Newark,150.29,48.25,3,0.05,16.72,Credit Card,Consumer,2022,2022-01,40.7357,-74.1724
ORD-103642,2022-01-13,CUS-00160,Jacob Flores,Toner Cartridge Black,Office Supplies,Appliances,Central,Wisconsin,Milwaukee,62.04,8.12,1,0.15,10.47,Online,Home Office,2022,2022-01,43.0389,-87.9065
ORD-100146,2022-01-15,CUS-00382,Melissa Wilson,Lounge Chair Leather,Furniture,Chairs,East,Florida,Orlando,625.89,102.98,1,0.15,27.65,Credit Card,Consumer,2022,2022-01,28.5383,-81.3792
ORD-102908,2022-01-15,CUS-00743,Stephanie Lewis,Smartphone Case Premium,Technology,Phones,West,Washington,Seattle,21.16,4.78,1,0.1,14.16,Online,Consumer,2022,2022-01,47.6062,-122.3321
ORD-100282,2022-01-15,CUS-00035,Mark Rodriguez,Bookshelf 5-Tier,Furniture,Bookcases,West,California,Sacramento,700.09,173.56,4,0.1,24.18,Credit Card,Consumer,2022,2022-01,38.5816,-121.4944
ORD-102628,2022-01-15,CUS-00095,William Clark,Wireless Charger Pad,Technology,Accessories,Central,Missouri,Kansas City,73.35,22.22,2,0.05,16.14,UPI,Corporate,2022,2022-01,39.0997,-94.5786
ORD-105068,2022-01-16,CUS-00726,Elizabeth Williams,Lounge Chair Leather,Furniture,Chairs,West,California,San Diego,1068.36,118.37,2,0.3,28.1,Online,Consumer,2022,2022-01,32.7157,-117.1611
ORD-105154,2022-01-16,CUS-00139,Angela Davis,Wireless Charger Pad,Technology,Accessories,West,California,San Francisco,41.96,13.54,1,0.0,9.26,Credit Card,Consumer,2022,2022-01,37.7749,-122.4194
ORD-103658,2022-01-16,CUS-00463,Carol Anderson,Standing Desk Adjustable,Furniture,Tables,Central,Texas,Dallas,776.24,232.58,2,0.1,23.02,Online,Consumer,2022,2022-01,32.7767,-96.797
ORD-103870,2022-01-16,CUS-00425,Michael Jackson,Lounge Chair Leather,Furniture,Chairs,East,North Carolina,Charlotte,2285.81,536.3,3,0.0,35.14,Credit Card,Corporate,2022,2022-01,35.2271,-80.8431
ORD-104445,2022-01-16,CUS-00730,Timothy Lewis,Scissors Titanium,Office Supplies,Fasteners,Central,Texas,Austin,30.71,3.71,3,0.15,17.47,Debit Card,Home Office,2022,2022-01,30.2672,-97.7431
ORD-102187,2022-01-17,CUS-00004,Anna Garcia,Filing Cabinet Metal,Furniture,Storage,Central,Wisconsin,Milwaukee,145.95,31.86,1,0.05,13.23,Credit Card,Corporate,2022,2022-01,43.0389,-87.9065
ORD-100026,2022-01-17,CUS-00400,David Walker,Coffee Table Glass,Furniture,Tables,Central,Michigan,Detroit,513.49,121.72,2,0.1,19.01,Credit Card,Consumer,2022,2022-01,42.3314,-83.0458
ORD-104139,2022-01-17,CUS-00205,Robert Flores,Toner Cartridge Black,Office Supplies,Appliances,Central,Ohio,Cleveland,70.91,12.94,1,0.0,13.68,Debit Card,Consumer,2022,2022-01,41.4993,-81.6944
ORD-102240,2022-01-18,CUS-00785,Elizabeth Evans,Printer Paper A4 Ream,Office Supplies,Paper,Central,Wisconsin,Milwaukee,25.23,6.67,3,0.0,13.37,UPI,Corporate,2022,2022-01,43.0389,-87.9065
ORD-101302,2022-01-18,CUS-00322,Timothy Harris,Printer Paper A4 Ream,Office Supplies,Paper,South,Oklahoma,Oklahoma City,17.22,1.6,2,0.05,16.59,Debit Card,Home Office,2022,2022-01,35.4676,-97.5164
ORD-102329,2022-01-18,CUS-00735,Robert Martin,Office Chair Ergonomic,Furniture,Chairs,West,California,San Francisco,485.37,129.18,2,0.0,19.22,Credit Card,Consumer,2022,2022-01,37.7749,-122.4194
ORD-100470,2022-01-19,CUS-00197,Sarah Parker,Tablet 10-inch,Technology,Computers,West,California,San Diego,329.18,46.19,1,0.15,18.5,Credit Card,Consumer,2022,2022-01,32.7157,-117.1611
ORD-103042,2022-01-20,CUS-00020,Richard Harris,Office Chair Ergonomic,Furniture,Chairs,East,Massachusetts,Boston,454.42,102.02,2,0.1,20.11,Online,Consumer,2022,2022-01,42.3601,-71.0589
ORD-104612,2022-01-20,CUS-00827,Michelle Lewis,Toner Cartridge Black,Office Supplies,Appliances,East,Florida,Miami,64.28,11.01,1,0.05,10.79,Online,Consumer,2022,2022-01,25.7617,-80.1918
ORD-103639,2022-01-21,CUS-00726,Elizabeth Williams,Printer Paper A4 Ream,Office Supplies,Paper,West,California,San Francisco,8.25,0.01,1,0.05,10.1,Credit Card,Consumer,2022,2022-01,37.7749,-122.4194
ORD-101540,2022-01-21,CUS-00497,William Martin,Monitor 27-inch 4K,Technology,Computers,West,Nevada,Las Vegas,1785.64,310.8,4,0.05,30.34,Credit Card,Corporate,2022,2022-01,36.1699,-115.1398
ORD-102064,2022-01-21,CUS-00603,Thomas Ramirez,Monitor 27-inch 4K,Technology,Computers,East,Maryland,Baltimore,363.56,45.25,1,0.15,16.13,Debit Card,Consumer,2022,2022-01,39.2904,-76.6122
ORD-100513,2022-01-21,CUS-00509,Lisa Campbell,Conference Table 8-Seat,Furniture,Tables,East,New York,Buffalo,4547.75,844.32,4,0.15,56.44,Debit Card,Consumer,2022,2022-01,42.8864,-78.8784
ORD-103065,2022-01-21,CUS-00617,Joshua Walker,Lounge Chair Leather,Furniture,Chairs,Central,Illinois,Springfield,3958.4,777.76,6,0.1,39.78,UPI,Consumer,2022,2022-01,39.7817,-89.6501
ORD-100259,2022-01-22,CUS-00125,Daniel Clark,Stapler Heavy Duty,Office Supplies,Fasteners,Central,Texas,Austin,11.5,-0.07,1,0.25,9.66,Online,Consumer,2022,2022-01,30.2672,-97.7431
ORD-105141,2022-01-22,CUS-00790,James Wright,Monitor 27-inch 4K,Technology,Computers,Central,Ohio,Cleveland,1984.23,346.47,5,0.05,30.54,Debit Card,Corporate,2022,2022-01,41.4993,-81.6944
ORD-103673,2022-01-22,CUS-00307,Donna Allen,Coffee Table Glass,Furniture,Tables,West,Nevada,Las Vegas,1292.85,365.93,5,0.0,25.71,Credit Card,Corporate,2022,2022-01,36.1699,-115.1398
ORD-102482,2022-01-23,CUS-00041,Mary Baker,Tablet 10-inch,Technology,Computers,East,Pennsylvania,Pittsburgh,378.46,76.42,1,0.0,19.55,Credit Card,Corporate,2022,2022-01,40.4406,-79.9959
ORD-100477,2022-01-23,CUS-00022,Anthony Nelson,Printer Paper A4 Ream,Office Supplies,Paper,East,Georgia,Atlanta,7.96,0.4,1,0.05,8.63,Debit Card,Consumer,2022,2022-01,33.749,-84.388
ORD-102129,2022-01-24,CUS-00610,Nicholas Adams,Bookshelf 5-Tier,Furniture,Bookcases,South,Oklahoma,Oklahoma City,362.24,96.01,2,0.05,15.47,Debit Card,Consumer,2022,2022-01,35.4676,-97.5164
ORD-100432,2022-01-25,CUS-00427,Margaret Martinez,Printer Paper A4 Ream,Office Supplies,Paper,South,Oklahoma,Oklahoma City,91.95,26.75,10,0.0,41.79,Credit Card,Corporate,2022,2022-01,35.4676,-97.5164
ORD-104820,2022-01-25,CUS-00074,Ashley Gonzalez,Coffee Table Glass,Furniture,Tables,West,Colorado,Denver,258.08,69.37,1,0.0,15.65,UPI,Consumer,2022,2022-01,39.7392,-104.9903
ORD-101876,2022-01-25,CUS-00228,Ashley Carter,Office Chair Ergonomic,Furniture,Chairs,Central,Texas,Houston,244.97,58.95,1,0.05,13.54,Credit Card,Consumer,2022,2022-01,29.7604,-95.3698
ORD-101677,2022-01-26,CUS-00306,Karen Young,Envelopes Box 100,Office Supplies,Envelopes,Central,Michigan,Detroit,33.16,-1.06,4,0.3,22.16,UPI,Home Office,2022,2022-01,42.3314,-83.0458
ORD-100589,2022-01-26,CUS-00207,Steven Roberts,Wireless Mouse Ergonomic,Technology,Accessories,Central,Missouri,Kansas City,62.96,21.81,2,0.0,13.25,Debit Card,Consumer,2022,2022-01,39.0997,-94.5786
ORD-103454,2022-01-26,CUS-00104,Melissa Jackson,Monitor 27-inch 4K,Technology,Computers,Central,Wisconsin,Milwaukee,415.98,69.32,1,0.05,15.88,Online,Consumer,2022,2022-01,43.0389,-87.9065
ORD-104438,2022-01-27,CUS-00124,Karen Thomas,Laptop Pro 15-inch,Technology,Computers,East,New York,New York City,6773.41,1200.19,5,0.0,54.35,Cash,Home Office,2022,2022-01,40.7128,-74.006
ORD-103373,2022-01-28,CUS-00847,Ronald Lee,Wireless Mouse Ergonomic,Technology,Accessories,Central,Minnesota,Minneapolis,180.66,65.29,6,0.0,30.24,UPI,Consumer,2022,2022-01,44.9778,-93.265
ORD-103911,2022-01-29,CUS-00437,Shirley Wilson,Monitor 27-inch 4K,Technology,Computers,East,Florida,Orlando,798.55,136.61,2,0.05,20.37,Online,Consumer,2022,2022-01,28.5383,-81.3792
ORD-101236,2022-01-30,CUS-00833,Deborah Roberts,Whiteboard Markers Set,Office Supplies,Art,Central,Minnesota,Minneapolis,9.4,0.82,1,0.0,9.48,Debit Card,Consumer,2022,2022-01,44.9778,-93.265
ORD-101245,2022-01-31,CUS-00046,Nicholas Miller,Filing Cabinet Metal,Furniture,Storage,Central,Illinois,Chicago,160.65,37.68,1,0.0,16.27,Online,Home Office,2022,2022-01,41.8781,-87.6298
ORD-101684,2022-01-31,CUS-00329,Kimberly Perez,Toner Cartridge Black,Office Supplies,Appliances,West,California,Los Angeles,70.27,12.87,1,0.0,13.42,Online,Corporate,2022,2022-01,34.0522,-118.2437
ORD-102269,2022-01-31,CUS-00534,Rebecca Green,External SSD 1TB,Technology,Accessories,West,Oregon,Portland,108.8,23.01,1,0.1,15.07,Online,Corporate,2022,2022-01,45.5152,-122.6784
ORD-104037,2022-01-31,CUS-00179,Kenneth Wright,Scissors Titanium,Office Supplies,Fasteners,South,Alabama,Birmingham,11.41,-1.16,1,0.15,13.75,Debit Card,Consumer,2022,2022-01,33.5207,-86.8025
ORD-100008,2022-02-01,CUS-00091,Angela Garcia,Office Chair Ergonomic,Furniture,Chairs,South,Kentucky,Louisville,249.16,64.34,1,0.0,15.49,Debit Card,Home Office,2022,2022-02,38.2527,-85.7585
ORD-100260,2022-02-01,CUS-00494,Karen Perez,Executive Desk Oak,Furniture,Tables,East,Pennsylvania,Philadelphia,592.68,167.88,1,0.05,28.34,Online,Consumer,2022,2022-02,39.9526,-75.1652
ORD-102445,2022-02-01,CUS-00607,Eric Jackson,Ballpoint Pens Pack 12,Office Supplies,Art,West,California,San Diego,6.98,-0.7,1,0.0,11.58,Credit Card,Home Office,2022,2022-02,32.7157,-117.1611
ORD-103278,2022-02-01,CUS-00644,Ryan Martinez,Mechanical Keyboard RGB,Technology,Accessories,East,Georgia,Atlanta,77.29,20.17,1,0.1,10.83,Debit Card,Corporate,2022,2022-02,33.749,-84.388
ORD-102367,2022-02-02,CUS-00158,Donald Baker,Bookshelf 5-Tier,Furniture,Bookcases,Central,Illinois,Chicago,844.33,212.19,5,0.1,20.95,Online,Consumer,2022,2022-02,41.8781,-87.6298
ORD-102655,2022-02-02,CUS-00086,Karen Gonzalez,Executive Desk Oak,Furniture,Tables,Central,Indiana,Indianapolis,633.71,196.01,1,0.0,19.35,Debit Card,Consumer,2022,2022-02,39.7684,-86.1581
ORD-101688,2022-02-02,CUS-00792,Emily Wright,Scissors Titanium,Office Supplies,Fasteners,Central,Texas,Houston,10.67,-0.81,1,0.1,12.67,Credit Card,Home Office,2022,2022-02,29.7604,-95.3698
ORD-104399,2022-02-02,CUS-00461,Sharon Nguyen,USB-C Hub 7-in-1,Technology,Accessories,Central,Ohio,Cleveland,80.25,19.96,2,0.2,11.75,Debit Card,Consumer,2022,2022-02,41.4993,-81.6944
ORD-102759,2022-02-02,CUS-00063,Stephen Anderson,Bluetooth Headphones,Technology,Accessories,East,New Jersey,Newark,126.16,19.2,1,0.2,17.24,Online,Corporate,2022,2022-02,40.7357,-74.1724
ORD-103326,2022-02-02,CUS-00405,Patricia Brown,Filing Cabinet Metal,Furniture,Storage,South,Oklahoma,Oklahoma City,842.34,200.66,6,0.05,28.35,Online,Home Office,2022,2022-02,35.4676,-97.5164
ORD-101489,2022-02-03,CUS-00086,Karen Gonzalez,Bookshelf 5-Tier,Furniture,Bookcases,West,Arizona,Phoenix,265.51,46.74,2,0.25,18.19,Credit Card,Consumer,2022,2022-02,33.4484,-112.074
ORD-100067,2022-02-03,CUS-00328,Karen Jones,Sticky Notes Assorted,Office Supplies,Labels,East,Massachusetts,Boston,10.09,-1.19,2,0.2,15.5,Cash,Consumer,2022,2022-02,42.3601,-71.0589
ORD-103900,2022-02-03,CUS-00243,Ryan Moore,Desk Organizer Bamboo,Office Supplies,Storage,Central,Michigan,Detroit,123.22,31.36,4,0.1,23.05,Online,Consumer,2022,2022-02,42.3314,-83.0458
ORD-104250,2022-02-04,CUS-00542,Shirley Wright,Office Chair Ergonomic,Furniture,Chairs,Central,Ohio,Columbus,1223.96,331.97,5,0.0,30.67,UPI,Consumer,2022,2022-02,39.9612,-82.9988
ORD-104046,2022-02-04,CUS-00069,Edward Gonzalez,Guest Chair Mesh,Furniture,Chairs,West,California,San Diego,368.06,89.56,3,0.0,17.53,Credit Card,Consumer,2022,2022-02,32.7157,-117.1611
ORD-102918,2022-02-04,CUS-00412,Joseph Diaz,Scissors Titanium,Office Supplies,Fasteners,East,Maryland,Baltimore,31.8,3.82,3,0.15,18.15,UPI,Corporate,2022,2022-02,39.2904,-76.6122
ORD-102884,2022-02-04,CUS-00018,David Williams,Executive Desk Oak,Furniture,Tables,South,Kentucky,Louisville,499.59,122.63,1,0.15,20.75,Online,Corporate,2022,2022-02,38.2527,-85.7585
ORD-100334,2022-02-04,CUS-00514,Matthew White,Binders Pack of 5,Office Supplies,Binders,West,California,Los Angeles,53.52,10.63,5,0.2,21.61,Credit Card,Corporate,2022,2022-02,34.0522,-118.2437
ORD-102462,2022-02-05,CUS-00613,Jennifer Evans,Lounge Chair Leather,Furniture,Chairs,Central,Michigan,Detroit,2655.59,574.69,4,0.05,27.26,Online,Home Office,2022,2022-02,42.3314,-83.0458
ORD-100318,2022-02-05,CUS-00418,Karen Baker,Desk Organizer Bamboo,Office Supplies,Storage,West,California,San Diego,64.76,16.06,2,0.05,17.02,UPI,Home Office,2022,2022-02,32.7157,-117.1611
ORD-103607,2022-02-05,CUS-00110,Carol Wilson,Office Chair Ergonomic,Furniture,Chairs,East,Massachusetts,Boston,1316.67,360.74,5,0.0,22.66,Credit Card,Corporate,2022,2022-02,42.3601,-71.0589
ORD-102173,2022-02-05,CUS-00431,Jason Diaz,External SSD 1TB,Technology,Accessories,Central,Michigan,Detroit,656.48,147.53,6,0.15,28.63,UPI,Corporate,2022,2022-02,42.3314,-83.0458
ORD-101005,2022-02-05,CUS-00450,James Young,Laptop Pro 15-inch,Technology,Computers,West,California,Los Angeles,5003.41,787.71,4,0.05,36.67,Debit Card,Corporate,2022,2022-02,34.0522,-118.2437
ORD-102150,2022-02-05,CUS-00368,Ronald Diaz,Toner Cartridge Black,Office Supplies,Appliances,West,Utah,Salt Lake City,65.68,11.26,1,0.0,14.74,Debit Card,Corporate,2022,2022-02,40.7608,-111.891
ORD-100607,2022-02-06,CUS-00655,Ashley Williams,Printer Paper A4 Ream,Office Supplies,Paper,Central,Illinois,Springfield,9.61,0.6,1,0.0,10.64,Credit Card,Corporate,2022,2022-02,39.7817,-89.6501
ORD-103971,2022-02-06,CUS-00129,Jacob Anderson,Standing Desk Adjustable,Furniture,Tables,East,Florida,Orlando,1438.07,493.46,3,0.0,28.17,Online,Consumer,2022,2022-02,28.5383,-81.3792
ORD-101978,2022-02-07,CUS-00417,Kenneth Nelson,Mechanical Keyboard RGB,Technology,Accessories,West,Arizona,Phoenix,283.7,68.5,4,0.2,23.15,Credit Card,Consumer,2022,2022-02,33.4484,-112.074
ORD-101941,2022-02-07,CUS-00807,Sandra Wilson,Executive Desk Oak,Furniture,Tables,East,Massachusetts,Boston,1819.39,571.12,3,0.0,31.68,Online,Home Office,2022,2022-02,42.3601,-71.0589
ORD-104470,2022-02-08,CUS-00227,Barbara Moore,Office Chair Ergonomic,Furniture,Chairs,Central,Minnesota,Minneapolis,993.71,267.96,4,0.0,29.38,Online,Home Office,2022,2022-02,44.9778,-93.265
ORD-104086,2022-02-08,CUS-00786,James Clark,Smartphone Case Premium,Technology,Phones,West,California,San Diego,60.57,17.01,3,0.25,20.63,UPI,Consumer,2022,2022-02,32.7157,-117.1611
ORD-101815,2022-02-08,CUS-00638,Deborah Allen,Scissors Titanium,Office Supplies,Fasteners,West,Nevada,Las Vegas,17.26,0.14,2,0.25,13.4,Credit Card,Consumer,2022,2022-02,36.1699,-115.1398
ORD-102011,2022-02-08,CUS-00463,Carol Anderson,Printer Paper A4 Ream,Office Supplies,Paper,South,Louisiana,New Orleans,17.0,2.14,2,0.05,14.76,Credit Card,Consumer,2022,2022-02,29.9511,-90.0715
ORD-101898,2022-02-09,CUS-00743,Stephanie Lewis,Ballpoint Pens Pack 12,Office Supplies,Art,West,California,Los Angeles,6.63,-0.82,1,0.0,11.43,Online,Consumer,2022,2022-02,34.0522,-118.2437
ORD-102202,2022-02-09,CUS-00357,Steven Baker,Webcam HD 1080p,Technology,Accessories,South,Louisiana,New Orleans,224.81,58.54,3,0.1,19.01,Credit Card,Corporate,2022,2022-02,29.9511,-90.0715
ORD-100714,2022-02-10,CUS-00063,Stephen Anderson,Office Chair Ergonomic,Furniture,Chairs,West,California,Los Angeles,351.74,57.08,2,0.25,17.81,Credit Card,Corporate,2022,2022-02,34.0522,-118.2437
ORD-100300,2022-02-10,CUS-00299,Michael Wilson,Tablet 10-inch,Technology,Computers,West,Nevada,Las Vegas,1293.87,169.53,4,0.2,33.19,Credit Card,Consumer,2022,2022-02,36.1699,-115.1398
ORD-101224,2022-02-10,CUS-00212,Betty Jones,Stapler Heavy Duty,Office Supplies,Fasteners,West,Utah,Salt Lake City,14.84,2.31,1,0.0,10.35,Online,Corporate,2022,2022-02,40.7608,-111.891
ORD-102344,2022-02-11,CUS-00693,Sarah Diaz,Executive Desk Oak,Furniture,Tables,Central,Texas,Houston,592.96,168.84,1,0.05,25.85,UPI,Consumer,2022,2022-02,29.7604,-95.3698
ORD-102477,2022-02-11,CUS-00586,Jessica Rodriguez,Ballpoint Pens Pack 12,Office Supplies,Art,Central,Minnesota,Minneapolis,5.74,-1.52,1,0.05,11.88,Online,Home Office,2022,2022-02,44.9778,-93.265
ORD-104558,2022-02-11,CUS-00677,Susan Flores,Monitor 27-inch 4K,Technology,Computers,Central,Ohio,Cleveland,438.08,72.54,1,0.05,18.04,Debit Card,Corporate,2022,2022-02,41.4993,-81.6944
ORD-105102,2022-02-12,CUS-00083,Deborah Taylor,Binders Pack of 5,Office Supplies,Binders,West,California,San Diego,33.24,6.29,3,0.15,16.22,Credit Card,Home Office,2022,2022-02,32.7157,-117.1611
ORD-100504,2022-02-12,CUS-00372,Kimberly Nguyen,Wireless Charger Pad,Technology,Accessories,Central,Wisconsin,Milwaukee,95.9,26.37,3,0.15,17.82,Credit Card,Consumer,2022,2022-02,43.0389,-87.9065
ORD-101889,2022-02-12,CUS-00284,Paul Torres,Binders Pack of 5,Office Supplies,Binders,West,California,Los Angeles,28.05,2.3,3,0.25,19.08,Credit Card,Consumer,2022,2022-02,34.0522,-118.2437
ORD-102841,2022-02-13,CUS-00624,Cynthia Davis,Whiteboard Markers Set,Office Supplies,Art,East,Pennsylvania,Pittsburgh,43.02,12.58,4,0.0,18.14,Credit Card,Consumer,2022,2022-02,40.4406,-79.9959
ORD-100901,2022-02-13,CUS-00753,Brian Adams,Wireless Mouse Ergonomic,Technology,Accessories,West,Oregon,Portland,98.02,25.51,4,0.2,22.32,Credit Card,Corporate,2022,2022-02,45.5152,-122.6784
ORD-101058,2022-02-14,CUS-00371,Ryan White,Tablet 10-inch,Technology,Computers,Central,Missouri,Kansas City,339.61,54.39,1,0.1,19.27,Credit Card,Corporate,2022,2022-02,39.0997,-94.5786
ORD-101595,2022-02-14,CUS-00353,Ronald Moore,Mechanical Keyboard RGB,Technology,Accessories,East,Massachusetts,Boston,604.5,153.93,8,0.2,26.53,Credit Card,Consumer,2022,2022-02,42.3601,-71.0589
ORD-101200,2022-02-14,CUS-00401,George Allen,Webcam HD 1080p,Technology,Accessories,West,Nevada,Las Vegas,70.42,16.96,1,0.05,13.91,Online,Corporate,2022,2022-02,36.1699,-115.1398
ORD-101675,2022-02-15,CUS-00619,Kathleen Robinson,Coffee Table Glass,Furniture,Tables,South,Alabama,Birmingham,535.7,127.3,2,0.1,18.93,Debit Card,Consumer,2022,2022-02,33.5207,-86.8025
ORD-101232,2022-02-15,CUS-00597,Kathleen King,Printer Paper A4 Ream,Office Supplies,Paper,South,Alabama,Birmingham,41.38,12.11,5,0.0,18.6,Credit Card,Consumer,2022,2022-02,33.5207,-86.8025
ORD-103696,2022-02-15,CUS-00267,Elizabeth Hernandez,Conference Table 8-Seat,Furniture,Tables,South,Kentucky,Louisville,5868.39,1219.25,5,0.1,37.46,Online,Consumer,2022,2022-02,38.2527,-85.7585
ORD-103427,2022-02-15,CUS-00339,Edward Torres,Mechanical Keyboard RGB,Technology,Accessories,South,Kentucky,Louisville,171.81,47.8,2,0.1,15.59,UPI,Corporate,2022,2022-02,38.2527,-85.7585
ORD-102721,2022-02-15,CUS-00615,Kimberly Adams,Filing Cabinet Metal,Furniture,Storage,West,Colorado,Denver,614.97,157.07,4,0.0,25.63,Credit Card,Consumer,2022,2022-02,39.7392,-104.9903
ORD-101446,2022-02-16,CUS-00809,Kenneth Johnson,Printer Paper A4 Ream,Office Supplies,Paper,Central,Ohio,Cleveland,15.53,0.11,2,0.2,16.11,Credit Card,Home Office,2022,2022-02,41.4993,-81.6944
