Order ID,Order Date,Ship Date,Customer Name,Customer ID,Product Name,Product Category,Sub Category,Region,Country,State,City,Sales,Profit,Quantity,Discount,Shipping Cost,Payment Mode,Segment
ORD-100414,2022-01-10,2022-01-13,Jonathan Carter,CUS-00042,Wireless Charger Pad,Technology,Accessories,South,United States,Oklahoma,Oklahoma City,145.29,47.87,4,0.05,20.96,Online,Consumer
ORD-102119,2022-01-11,2022-01-13,Sarah Martinez,CUS-00504,Stapler Heavy Duty,Office Supplies,Fasteners,Central,United States,Ohio,Columbus,16.17,1.81,1,0.0,13.32,Online,Consumer
ORD-100320,2022-01-11,2022-01-15,Gary Lewis,CUS-00237,Bookshelf 5-Tier,Furniture,Bookcases,Central,United States,Ohio,Cleveland,361.04,100.91,2,0.0,21.16,Online,Corporate
ORD-101286,2022-01-12,2022-01-15,Paul Davis,CUS-00559,Desk Organizer Bamboo,Office Supplies,Storage,Central,United States,Michigan,Detroit,35.79,9.11,1,0.0,10.79,Credit Card,Corporate
ORD-105165,2022-01-12,2022-01-18,Margaret Perez,CUS-00502,Toner Cartridge Black,Office Supplies,Appliances,South,United States,Louisiana,New Orleans,133.79,28.1,2,0.0,15.27,Online,Home Office
ORD-100247,2022-01-12,2022-01-19,Steven Gonzalez,CUS-00468,Tablet 10-inch,Technology,Computers,West,United States,Arizona,Phoenix,1355.88,234.38,4,0.1,27.66,Debit Card,Consumer
ORD-103609,2022-01-13,2022-01-16,Emily Williams,CUS-00113,USB-C Hub 7-in-1,Technology,Accessories,East,United States,New Jersey,Newark,150.29,48.25,3,0.05,16.72,Credit Card,Consumer
ORD-103642,2022-01-13,2022-01-17,Jacob Flores,CUS-00160,Toner Cartridge Black,Office Supplies,Appliances,Central,United States,Wisconsin,Milwaukee,62.04,8.12,1,0.15,10.47,Online,Home Office
ORD-100146,2022-01-15,2022-01-18,Melissa Wilson,CUS-00382,Lounge Chair Leather,Furniture,Chairs,East,United States,Florida,Orlando,625.89,102.98,1,0.15,27.65,Credit Card,Consumer
ORD-102908,2022-01-15,2022-01-18,Stephanie Lewis,CUS-00743,Smartphone Case Premium,Technology,Phones,West,United States,Washington,Seattle,21.16,4.78,1,0.1,14.16,Online,Consumer
ORD-100282,2022-01-15,2022-01-20,Mark Rodriguez,CUS-00035,Bookshelf 5-Tier,Furniture,Bookcases,West,United States,California,Sacramento,700.09,173.56,4,0.1,24.18,Credit Card,Consumer
ORD-102628,2022-01-15,2022-01-17,William Clark,CUS-00095,Wireless Charger Pad,Technology,Accessories,Central,United States,Missouri,Kansas City,73.35,22.22,2,0.05,16.14,UPI,Corporate
ORD-105068,2022-01-16,2022-01-19,Elizabeth Williams,CUS-00726,Lounge Chair Leather,Furniture,Chairs,West,United States,California,San Diego,1068.36,118.37,2,0.3,28.1,Online,Consumer
ORD-105154,2022-01-16,2022-01-21,Angela Davis,CUS-00139,Wireless Charger Pad,Technology,Accessories,West,United States,California,San Francisco,41.96,13.54,1,0.0,9.26,Credit Card,Consumer
ORD-103658,2022-01-16,2022-01-17,Carol Anderson,CUS-00463,Standing Desk Adjustable,Furniture,Tables,Central,United States,Texas,Dallas,776.24,232.58,2,0.1,23.02,Online,Consumer
ORD-103870,2022-01-16,2022-01-19,Michael Jackson,CUS-00425,Lounge Chair Leather,Furniture,Chairs,East,United States,North Carolina,Charlotte,2285.81,536.3,3,0.0,35.14,Credit Card,Corporate
ORD-104445,2022-01-16,2022-01-22,Timothy Lewis,CUS-00730,Scissors Titanium,Office Supplies,Fasteners,Central,United States,Texas,Austin,30.71,3.71,3,0.15,17.47,Debit Card,Home Office
ORD-102187,2022-01-17,2022-01-21,Anna Garcia,CUS-00004,Filing Cabinet Metal,Furniture,Storage,Central,United States,Wisconsin,Milwaukee,145.95,31.86,1,0.05,13.23,Credit Card,Corporate
ORD-100026,2022-01-17,2022-01-23,David Walker,CUS-00400,Coffee Table Glass,Furniture,Tables,Central,United States,Michigan,Detroit,513.49,121.72,2,0.1,19.01,Credit Card,Consumer
ORD-104139,2022-01-17,2022-01-19,Robert Flores,CUS-00205,Toner Cartridge Black,Office Supplies,Appliances,Central,United States,Ohio,Cleveland,70.91,12.94,1,0.0,13.68,Debit Card,Consumer
ORD-102240,2022-01-18,2022-01-19,Elizabeth Evans,CUS-00785,Printer Paper A4 Ream,Office Supplies,Paper,Central,United States,Wisconsin,Milwaukee,25.23,6.67,3,0.0,13.37,UPI,Corporate
ORD-101302,2022-01-18,2022-01-21,Timothy Harris,CUS-00322,Printer Paper A4 Ream,Office Supplies,Paper,South,United States,Oklahoma,Oklahoma City,17.22,1.6,2,0.05,16.59,Debit Card,Home Office
ORD-102329,2022-01-18,2022-01-22,Robert Martin,CUS-00735,Office Chair Ergonomic,Furniture,Chairs,West,United States,California,San Francisco,485.37,129.18,2,0.0,19.22,Credit Card,Consumer
ORD-100470,2022-01-19,2022-01-23,Sarah Parker,CUS-00197,Tablet 10-inch,Technology,Computers,West,United States,California,San Diego,329.18,46.19,1,0.15,18.5,Credit Card,Consumer
ORD-103042,2022-01-20,2022-01-22,Richard Harris,CUS-00020,Office Chair Ergonomic,Furniture,Chairs,East,United States,Massachusetts,Boston,454.42,102.02,2,0.1,20.11,Online,Consumer
ORD-104612,2022-01-20,2022-01-24,Michelle Lewis,CUS-00827,Toner Cartridge Black,Office Supplies,Appliances,East,United States,Florida,Miami,64.28,11.01,1,0.05,10.79,Online,Consumer
ORD-103639,2022-01-21,2022-01-23,Elizabeth Williams,CUS-00726,Printer Paper A4 Ream,Office Supplies,Paper,West,United States,California,San Francisco,8.25,0.01,1,0.05,10.1,Credit Card,Consumer
ORD-101540,2022-01-21,2022-01-25,William Martin,CUS-00497,Monitor 27-inch 4K,Technology,Computers,West,United States,Nevada,Las Vegas,1785.64,310.8,4,0.05,30.34,Credit Card,Corporate
ORD-102064,2022-01-21,2022-01-23,Thomas Ramirez,CUS-00603,Monitor 27-inch 4K,Technology,Computers,East,United States,Maryland,Baltimore,363.56,45.25,1,0.15,16.13,Debit Card,Consumer
ORD-100513,2022-01-21,2022-01-25,Lisa Campbell,CUS-00509,Conference Table 8-Seat,Furniture,Tables,East,United States,New York,Buffalo,4547.75,844.32,4,0.15,56.44,Debit Card,Consumer
ORD-103065,2022-01-21,2022-01-23,Joshua Walker,CUS-00617,Lounge Chair Leather,Furniture,Chairs,Central,United States,Illinois,Springfield,3958.4,777.76,6,0.1,39.78,UPI,Consumer
ORD-100259,2022-01-22,2022-01-26,Daniel Clark,CUS-00125,Stapler Heavy Duty,Office Supplies,Fasteners,Central,United States,Texas,Austin,11.5,-0.07,1,0.25,9.66,Online,Consumer
ORD-105141,2022-01-22,2022-01-26,James Wright,CUS-00790,Monitor 27-inch 4K,Technology,Computers,Central,United States,Ohio,Cleveland,1984.23,346.47,5,0.05,30.54,Debit Card,Corporate
ORD-103673,2022-01-22,2022-01-27,Donna Allen,CUS-00307,Coffee Table Glass,Furniture,Tables,West,United States,Nevada,Las Vegas,1292.85,365.93,5,0.0,25.71,Credit Card,Corporate
ORD-102482,2022-01-23,2022-01-26,Mary Baker,CUS-00041,Tablet 10-inch,Technology,Computers,East,United States,Pennsylvania,Pittsburgh,378.46,76.42,1,0.0,19.55,Credit Card,Corporate
ORD-100477,2022-01-23,2022-01-26,Anthony Nelson,CUS-00022,Printer Paper A4 Ream,Office Supplies,Paper,East,United States,Georgia,Atlanta,7.96,0.4,1,0.05,8.63,Debit Card,Consumer
ORD-102129,2022-01-24,2022-01-30,Nicholas Adams,CUS-00610,Bookshelf 5-Tier,Furniture,Bookcases,South,United States,Oklahoma,Oklahoma City,362.24,96.01,2,0.05,15.47,Debit Card,Consumer
ORD-100432,2022-01-25,2022-01-26,Margaret Martinez,CUS-00427,Printer Paper A4 Ream,Office Supplies,Paper,South,United States,Oklahoma,Oklahoma City,91.95,26.75,10,0.0,41.79,Credit Card,Corporate
ORD-104820,2022-01-25,2022-01-27,Ashley Gonzalez,CUS-00074,Coffee Table Glass,Furniture,Tables,West,United States,Colorado,Denver,258.08,69.37,1,0.0,15.65,UPI,Consumer
ORD-101876,2022-01-25,2022-01-27,Ashley Carter,CUS-00228,Office Chair Ergonomic,Furniture,Chairs,Central,United States,Texas,Houston,244.97,58.95,1,0.05,13.54,Credit Card,Consumer
ORD-101677,2022-01-26,2022-01-30,Karen Young,CUS-00306,Envelopes Box 100,Office Supplies,Envelopes,Central,United States,Michigan,Detroit,33.16,-1.06,4,0.3,22.16,UPI,Home Office
ORD-100589,2022-01-26,2022-01-31,Steven Roberts,CUS-00207,Wireless Mouse Ergonomic,Technology,Accessories,Central,United States,Missouri,Kansas City,62.96,21.81,2,0.0,13.25,Debit Card,Consumer
ORD-103454,2022-01-26,2022-01-28,Melissa Jackson,CUS-00104,Monitor 27-inch 4K,Technology,Computers,Central,United States,Wisconsin,Milwaukee,415.98,69.32,1,0.05,15.88,Online,Consumer
ORD-104438,2022-01-27,2022-02-01,Karen Thomas,CUS-00124,Laptop Pro 15-inch,Technology,Computers,East,United States,New York,New York City,6773.41,1200.19,5,0.0,54.35,Cash,Home Office
ORD-103373,2022-01-28,2022-01-31,Ronald Lee,CUS-00847,Wireless Mouse Ergonomic,Technology,Accessories,Central,United States,Minnesota,Minneapolis,180.66,65.29,6,0.0,30.24,UPI,Consumer
ORD-103911,2022-01-29,2022-02-01,Shirley Wilson,CUS-00437,Monitor 27-inch 4K,Technology,Computers,East,United States,Florida,Orlando,798.55,136.61,2,0.05,20.37,Online,Consumer
ORD-101236,2022-01-30,2022-02-03,Deborah Roberts,CUS-00833,Whiteboard Markers Set,Office Supplies,Art,Central,United States,Minnesota,Minneapolis,9.4,0.82,1,0.0,9.48,Debit Card,Consumer
ORD-101245,2022-01-31,2022-02-02,Nicholas Miller,CUS-00046,Filing Cabinet Metal,Furniture,Storage,Central,United States,Illinois,Chicago,160.65,37.68,1,0.0,16.27,Online,Home Office
ORD-101684,2022-01-31,2022-02-04,Kimberly Perez,CUS-00329,Toner Cartridge Black,Office Supplies,Appliances,West,United States,California,Los Angeles,70.27,12.87,1,0.0,13.42,Online,Corporate
ORD-102269,2022-01-31,2022-02-04,Rebecca Green,CUS-00534,External SSD 1TB,Technology,Accessories,West,United States,Oregon,Portland,108.8,23.01,1,0.1,15.07,Online,Corporate
ORD-104037,2022-01-31,2022-02-01,Kenneth Wright,CUS-00179,Scissors Titanium,Office Supplies,Fasteners,South,United States,Alabama,Birmingham,11.41,-1.16,1,0.15,13.75,Debit Card,Consumer
ORD-100008,2022-02-01,2022-02-05,Angela Garcia,CUS-00091,Office Chair Ergonomic,Furniture,Chairs,South,United States,Kentucky,Louisville,249.16,64.34,1,0.0,15.49,Debit Card,Home Office
ORD-100260,2022-02-01,2022-02-03,Karen Perez,CUS-00494,Executive Desk Oak,Furniture,Tables,East,United States,Pennsylvania,Philadelphia,592.68,167.88,1,0.05,28.34,Online,Consumer
ORD-102445,2022-02-01,2022-02-07,Eric Jackson,CUS-00607,Ballpoint Pens Pack 12,Office Supplies,Art,West,United States,California,San Diego,6.98,-0.7,1,0.0,11.58,Credit Card,Home Office
ORD-103278,2022-02-01,2022-02-05,Ryan Martinez,CUS-00644,Mechanical Keyboard RGB,Technology,Accessories,East,United States,Georgia,Atlanta,77.29,20.17,1,0.1,10.83,Debit Card,Corporate
ORD-102367,2022-02-02,2022-02-06,Donald Baker,CUS-00158,Bookshelf 5-Tier,Furniture,Bookcases,Central,United States,Illinois,Chicago,844.33,212.19,5,0.1,20.95,Online,Consumer
ORD-102655,2022-02-02,2022-02-03,Karen Gonzalez,CUS-00086,Executive Desk Oak,Furniture,Tables,Central,United States,Indiana,Indianapolis,633.71,196.01,1,0.0,19.35,Debit Card,Consumer
ORD-101688,2022-02-02,2022-02-07,Emily Wright,CUS-00792,Scissors Titanium,Office Supplies,Fasteners,Central,United States,Texas,Houston,10.67,-0.81,1,0.1,12.67,Credit Card,Home Office
ORD-104399,2022-02-02,2022-02-08,Sharon Nguyen,CUS-00461,USB-C Hub 7-in-1,Technology,Accessories,Central,United States,Ohio,Cleveland,80.25,19.96,2,0.2,11.75,Debit Card,Consumer
ORD-102759,2022-02-02,2022-02-05,Stephen Anderson,CUS-00063,Bluetooth Headphones,Technology,Accessories,East,United States,New Jersey,Newark,126.16,19.2,1,0.2,17.24,Online,Corporate
ORD-103326,2022-02-02,2022-02-04,Patricia Brown,CUS-00405,Filing Cabinet Metal,Furniture,Storage,South,United States,Oklahoma,Oklahoma City,842.34,200.66,6,0.05,28.35,Online,Home Office
ORD-101489,2022-02-03,2022-02-07,Karen Gonzalez,CUS-00086,Bookshelf 5-Tier,Furniture,Bookcases,West,United States,Arizona,Phoenix,265.51,46.74,2,0.25,18.19,Credit Card,Consumer
ORD-100067,2022-02-03,2022-02-09,Karen Jones,CUS-00328,Sticky Notes Assorted,Office Supplies,Labels,East,United States,Massachusetts,Boston,10.09,-1.19,2,0.2,15.5,Cash,Consumer
ORD-103900,2022-02-03,2022-02-07,Ryan Moore,CUS-00243,Desk Organizer Bamboo,Office Supplies,Storage,Central,United States,Michigan,Detroit,123.22,31.36,4,0.1,23.05,Online,Consumer
ORD-104250,2022-02-04,2022-02-08,Shirley Wright,CUS-00542,Office Chair Ergonomic,Furniture,Chairs,Central,United States,Ohio,Columbus,1223.96,331.97,5,0.0,30.67,UPI,Consumer
ORD-104046,2022-02-04,2022-02-08,Edward Gonzalez,CUS-00069,Guest Chair Mesh,Furniture,Chairs,West,United States,California,San Diego,368.06,89.56,3,0.0,17.53,Credit Card,Consumer
ORD-102918,2022-02-04,2022-02-08,Joseph Diaz,CUS-00412,Scissors Titanium,Office Supplies,Fasteners,East,United States,Maryland,Baltimore,31.8,3.82,3,0.15,18.15,UPI,Corporate
ORD-102884,2022-02-04,2022-02-07,David Williams,CUS-00018,Executive Desk Oak,Furniture,Tables,South,United States,Kentucky,Louisville,499.59,122.63,1,0.15,20.75,Online,Corporate
ORD-100334,2022-02-04,2022-02-08,Matthew White,CUS-00514,Binders Pack of 5,Office Supplies,Binders,West,United States,California,Los Angeles,53.52,10.63,5,0.2,21.61,Credit Card,Corporate
ORD-102462,2022-02-05,2022-02-08,Jennifer Evans,CUS-00613,Lounge Chair Leather,Furniture,Chairs,Central,United States,Michigan,Detroit,2655.59,574.69,4,0.05,27.26,Online,Home Office
ORD-100318,2022-02-05,2022-02-08,Karen Baker,CUS-00418,Desk Organizer Bamboo,Office Supplies,Storage,West,United States,California,San Diego,64.76,16.06,2,0.05,17.02,UPI,Home Office
ORD-103607,2022-02-05,2022-02-08,Carol Wilson,CUS-00110,Office Chair Ergonomic,Furniture,Chairs,East,United States,Massachusetts,Boston,1316.67,360.74,5,0.0,22.66,Credit Card,Corporate
ORD-102173,2022-02-05,2022-02-08,Jason Diaz,CUS-00431,External SSD 1TB,Technology,Accessories,Central,United States,Michigan,Detroit,656.48,147.53,6,0.15,28.63,UPI,Corporate
ORD-101005,2022-02-05,2022-02-09,James Young,CUS-00450,Laptop Pro 15-inch,Technology,Computers,West,United States,California,Los Angeles,5003.41,787.71,4,0.05,36.67,Debit Card,Corporate
ORD-102150,2022-02-05,2022-02-08,Ronald Diaz,CUS-00368,Toner Cartridge Black,Office Supplies,Appliances,West,United States,Utah,Salt Lake City,65.68,11.26,1,0.0,14.74,Debit Card,Corporate
ORD-100607,2022-02-06,2022-02-10,Ashley Williams,CUS-00655,Printer Paper A4 Ream,Office Supplies,Paper,Central,United States,Illinois,Springfield,9.61,0.6,1,0.0,10.64,Credit Card,Corporate
ORD-103971,2022-02-06,2022-02-07,Jacob Anderson,CUS-00129,Standing Desk Adjustable,Furniture,Tables,East,United States,Florida,Orlando,1438.07,493.46,3,0.0,28.17,Online,Consumer
ORD-101978,2022-02-07,2022-02-10,Kenneth Nelson,CUS-00417,Mechanical Keyboard RGB,Technology,Accessories,West,United States,Arizona,Phoenix,283.7,68.5,4,0.2,23.15,Credit Card,Consumer
ORD-101941,2022-02-07,2022-02-09,Sandra Wilson,CUS-00807,Executive Desk Oak,Furniture,Tables,East,United States,Massachusetts,Boston,1819.39,571.12,3,0.0,31.68,Online,Home Office
ORD-104470,2022-02-08,2022-02-13,Barbara Moore,CUS-00227,Office Chair Ergonomic,Furniture,Chairs,Central,United States,Minnesota,Minneapolis,993.71,267.96,4,0.0,29.38,Online,Home Office
ORD-104086,2022-02-08,2022-02-13,James Clark,CUS-00786,Smartphone Case Premium,Technology,Phones,West,United States,California,San Diego,60.57,17.01,3,0.25,20.63,UPI,Consumer
ORD-101815,2022-02-08,2022-02-11,Deborah Allen,CUS-00638,Scissors Titanium,Office Supplies,Fasteners,West,United States,Nevada,Las Vegas,17.26,0.14,2,0.25,13.4,Credit Card,Consumer
ORD-102011,2022-02-08,2022-02-12,Carol Anderson,CUS-00463,Printer Paper A4 Ream,Office Supplies,Paper,South,United States,Louisiana,New Orleans,17.0,2.14,2,0.05,14.76,Credit Card,Consumer
ORD-101898,2022-02-09,2022-02-15,Stephanie Lewis,CUS-00743,Ballpoint Pens Pack 12,Office Supplies,Art,West,United States,California,Los Angeles,6.63,-0.82,1,0.0,11.43,Online,Consumer
ORD-102202,2022-02-09,2022-02-12,Steven Baker,CUS-00357,Webcam HD 1080p,Technology,Accessories,South,United States,Louisiana,New Orleans,224.81,58.54,3,0.1,19.01,Credit Card,Corporate
ORD-100714,2022-02-10,2022-02-14,Stephen Anderson,CUS-00063,Office Chair Ergonomic,Furniture,Chairs,West,United States,California,Los Angeles,351.74,57.08,2,0.25,17.81,Credit Card,Corporate
ORD-100300,2022-02-10,2022-02-13,Michael Wilson,CUS-00299,Tablet 10-inch,Technology,Computers,West,United States,Nevada,Las Vegas,1293.87,169.53,4,0.2,33.19,Credit Card,Consumer
ORD-101224,2022-02-10,2022-02-16,Betty Jones,CUS-00212,Stapler Heavy Duty,Office Supplies,Fasteners,West,United States,Utah,Salt Lake City,14.84,2.31,1,0.0,10.35,Online,Corporate
ORD-102344,2022-02-11,2022-02-14,Sarah Diaz,CUS-00693,Executive Desk Oak,Furniture,Tables,Central,United States,Texas,Houston,592.96,168.84,1,0.05,25.85,UPI,Consumer
ORD-102477,2022-02-11,2022-02-15,Jessica Rodriguez,CUS-00586,Ballpoint Pens Pack 12,Office Supplies,Art,Central,United States,Minnesota,Minneapolis,5.74,-1.52,1,0.05,11.88,Online,Home Office
ORD-104558,2022-02-11,2022-02-15,Susan Flores,CUS-00677,Monitor 27-inch 4K,Technology,Computers,Central,United States,Ohio,Cleveland,438.08,72.54,1,0.05,18.04,Debit Card,Corporate
ORD-105102,2022-02-12,2022-02-16,Deborah Taylor,CUS-00083,Binders Pack of 5,Office Supplies,Binders,West,United States,California,San Diego,33.24,6.29,3,0.15,16.22,Credit Card,Home Office
ORD-100504,2022-02-12,2022-02-14,Kimberly Nguyen,CUS-00372,Wireless Charger Pad,Technology,Accessories,Central,United States,Wisconsin,Milwaukee,95.9,26.37,3,0.15,17.82,Credit Card,Consumer
ORD-101889,2022-02-12,2022-02-17,Paul Torres,CUS-00284,Binders Pack of 5,Office Supplies,Binders,West,United States,California,Los Angeles,28.05,2.3,3,0.25,19.08,Credit Card,Consumer
ORD-102841,2022-02-13,2022-02-17,Cynthia Davis,CUS-00624,Whiteboard Markers Set,Office Supplies,Art,East,United States,Pennsylvania,Pittsburgh,43.02,12.58,4,0.0,18.14,Credit Card,Consumer
ORD-100901,2022-02-13,2022-02-14,Brian Adams,CUS-00753,Wireless Mouse Ergonomic,Technology,Accessories,West,United States,Oregon,Portland,98.02,25.51,4,0.2,22.32,Credit Card,Corporate
ORD-101058,2022-02-14,2022-02-17,Ryan White,CUS-00371,Tablet 10-inch,Technology,Computers,Central,United States,Missouri,Kansas City,339.61,54.39,1,0.1,19.27,Credit Card,Corporate
ORD-101595,2022-02-14,2022-02-16,Ronald Moore,CUS-00353,Mechanical Keyboard RGB,Technology,Accessories,East,United States,Massachusetts,Boston,604.5,153.93,8,0.2,26.53,Credit Card,Consumer
ORD-101200,2022-02-14,2022-02-20,George Allen,CUS-00401,Webcam HD 1080p,Technology,Accessories,West,United States,Nevada,Las Vegas,70.42,16.96,1,0.05,13.91,Online,Corporate
ORD-101675,2022-02-15,2022-02-17,Kathleen Robinson,CUS-00619,Coffee Table Glass,Furniture,Tables,South,United States,Alabama,Birmingham,535.7,127.3,2,0.1,18.93,Debit Card,Consumer
ORD-101232,2022-02-15,2022-02-16,Kathleen King,CUS-00597,Printer Paper A4 Ream,Office Supplies,Paper,South,United States,Alabama,Birmingham,41.38,12.11,5,0.0,18.6,Credit Card,Consumer
ORD-103696,2022-02-15,2022-02-18,Elizabeth Hernandez,CUS-00267,Conference Table 8-Seat,Furniture,Tables,South,United States,Kentucky,Louisville,5868.39,1219.25,5,0.1,37.46,Online,Consumer
ORD-103427,2022-02-15,2022-02-18,Edward Torres,CUS-00339,Mechanical Keyboard RGB,Technology,Accessories,South,United States,Kentucky,Louisville,171.81,47.8,2,0.1,15.59,UPI,Corporate
ORD-102721,2022-02-15,2022-02-20,Kimberly Adams,CUS-00615,Filing Cabinet Metal,Furniture,Storage,West,United States,Colorado,Denver,614.97,157.07,4,0.0,25.63,Credit Card,Consumer
ORD-101446,2022-02-16,2022-02-19,Kenneth Johnson,CUS-00809,Printer Paper A4 Ream,Office Supplies,Paper,Central,United States,Ohio,Cleveland,15.53,0.11,2,0.2,16.11,Credit Card,Home Office
ORD-103890,2022-02-16,2022-02-20,George Green,CUS-00220,Webcam HD 1080p,Technology,Accessories,Central,United States,Indiana,Indianapolis,151.7,37.93,2,0.1,17.31,Credit Card,Home Office
ORD-100197,2022-02-16,2022-02-20,Richard Sanchez,CUS-00639,Mechanical Keyboard RGB,Technology,Accessories,South,United States,Louisiana,New Orleans,161.04,48.62,2,0.05,12.91,UPI,Consumer
ORD-102065,2022-02-17,2022-02-20,Anthony Perez,CUS-00761,Webcam HD 1080p,Technology,Accessories,West,United States,Nevada,Las Vegas,73.48,16.65,1,0.1,13.31,Credit Card,Corporate
ORD-104351,2022-02-17,2022-02-21,Charles Turner,CUS-00522,Office Chair Ergonomic,Furniture,Chairs,West,United States,California,San Diego,768.53,206.94,3,0.0,23.58,Credit Card,Consumer
ORD-102950,2022-02-17,2022-02-20,Andrew Hall,CUS-00270,Webcam HD 1080p,Technology,Accessories,East,United States,Pennsylvania,Philadelphia,76.83,16.86,1,0.1,15.49,Online,Home Office
ORD-104734,2022-02-18,2022-02-19,Gary Parker,CUS-00315,Printer Paper A4 Ream,Office Supplies,Paper,East,United States,Florida,Miami,8.31,-0.5,1,0.0,12.1,Credit Card,Consumer
ORD-103015,2022-02-18,2022-02-20,Sharon Evans,CUS-00225,Smart Watch Series X,Technology,Phones,East,United States,Georgia,Atlanta,751.52,103.44,3,0.15,26.53,Online,Corporate
ORD-100127,2022-02-18,2022-02-22,Anna Garcia,CUS-00004,Bluetooth Headphones,Technology,Accessories,South,United States,Alabama,Birmingham,125.1,23.41,1,0.15,11.76,UPI,Corporate
ORD-103933,2022-02-18,2022-02-21,Christopher Robinson,CUS-00044,Office Chair Ergonomic,Furniture,Chairs,West,United States,Washington,Seattle,469.82,105.52,2,0.1,20.68,Debit Card,Consumer
ORD-101184,2022-02-18,2022-02-24,Cynthia Green,CUS-00343,Monitor 27-inch 4K,Technology,Computers,West,United States,California,Sacramento,2426.4,377.59,6,0.1,30.39,Cash,Consumer
ORD-104776,2022-02-18,2022-02-21,George Turner,CUS-00052,Smartphone Case Premium,Technology,Phones,West,United States,Utah,Salt Lake City,67.97,26.8,3,0.05,16.65,Online,Corporate
